sequence,HVU1_급기_온도,R_HVU1_급기_온도,HVU1_혼합_온도,R_HVU1_혼합_온도,외기온도,R_외기온도,HVU1_급기_습도,R_HVU1_급기_습도,HVU1_환기_온도,R_HVU1_환기_온도
0,15.48330593,16,28.88544846,30,29.08514404,29,31.60776711,29,32.83402634,34
1,14.26578236,15,27.90828705,29,24.16718483,26,31.60776711,29,33.58543396,35
2,12.78355026,13,28.88544846,30,32.96481323,35,30.80615616,28,31.5518856,32
3,13.44312954,13,28.24124336,30,34.7816658,36,34.03316116,32,32.93786621,34
4,14.26578236,15,27.49661064,29,32.00608444,33,30.80615616,28,28.23224831,27
5,14.29528332,15,27.64570427,29,26.03920937,28,30.80615616,28,33.5370369,34
6,15.16893387,16,24.9499588,26,28.08162689,29,30.80615616,28,27.17153931,27
7,13.52837753,14,26.58355141,28,23.05867004,24,32.41537476,30,32.23513031,34
8,15.84133053,16,26.91592598,27,34.57420731,36,33.22689056,31,31.62044907,32
9,12.78355026,13,28.61048698,29,30.07870483,31,31.60776711,29,28.10844994,28
10,12.85280609,14,28.35936737,29,23.06764221,23,32.42324448,30,29.06414795,29
11,16.16420746,17,27.90828705,29,31.02470779,31,30.80615616,28,32.20202255,33
12,16.16420746,17,29.512043,31,31.95877457,33,32.41537476,31,29.82591248,31
13,15.16893387,16,30.46654892,31,28.05910683,29,31.60776711,29,27.1584816,27
14,15.16893387,16,27.90828705,29,33.60977936,35,34.04014587,32,29.04059029,29
15,14.27133369,15,28.88544846,30,31.97618866,33,30.80615616,28,29.93728828,30
16,13.55630589,14,27.71813202,29,33.78750229,35,31.60776711,29,32.28596878,33
17,13.37671185,14,26.91592598,28,30.04855347,32,30.80615616,28,28.29644203,28
18,15.16893387,17,27.86007118,29,29.07200241,30,31.60776711,29,28.85071945,29
19,16.16420746,17,29.73020935,32,23.43415833,24,30.80615616,28,33.01218414,34
20,16.16420746,17,25.90903282,27,26.08852768,27,32.41537476,30,29.04059029,29
21,16.16420746,17,27.90828705,29,29.07261086,29,32.41537476,30,32.16059494,33
22,15.15463829,17,28.92942047,30,24.11324692,25,32.41593933,30,28.10844994,28
23,15.16893387,15,25.7925415,27,28.11304092,29,34.04014969,32,29.92722702,30
